parameter,value1,value2
[SINGLE REFLECTANCE MEASUREMENT], , 
author,Gauthier Patin, 
date_time,2022-12-02 11:25:17, 
project,1.1_stereo-MFT, 
[SAMPLE DATA], , 
sample_type,BWS, 
sample_nb,nb.0097, 
name,BW1, 
pigment,C.I. Acid Blue 104, 
binding,unknown, 
colour,blue, 
ratio,1, 
thickness_microns,unknown, 
sample_support,wool, 
sample_date,2019, 
comments,, 
[DEVICE DATA], , 
device,Tidas_S 400, 
geometry,45° : 0°, 
option,E.1.1x4.0, 
lamp,"HAL3_Ocean Optics, HL-2000-FHSA-LL", 
filter,noFilter, 
fiber_ill,UVIR600um2, 
white_ref,"WR1_Dr Lange, pressed barium sulphate powder", 
[ANALYSIS DATA], , 
Id,b.3021, 
background,wbg, 
specular_component,excluded, 
integration_time_ms,80.00, 
average,20, 
measurements_N,1, 
[COLORIMETRIC DATA], , 
observer,10deg,2deg
illuminant,D65,D50
L*,46.96,43.75
a*,-4.95,-2.91
b*,-40.59,-45.45
C*,40.89,45.54
h,263.05,266.34
[MEASUREMENT DATA], , 
wavelength_nm,reflectance, 
305,0.6914,
306,0.6948,
307,0.6974,
308,0.694,
309,0.6907,
310,0.6874,
311,0.6843,
312,0.6813,
313,0.6782,
314,0.6766,
315,0.6761,
316,0.6756,
317,0.6755,
318,0.6763,
319,0.6772,
320,0.6781,
321,0.6735,
322,0.6685,
323,0.6636,
324,0.6608,
325,0.6593,
326,0.6579,
327,0.6562,
328,0.654,
329,0.6519,
330,0.6498,
331,0.6487,
332,0.6477,
333,0.6467,
334,0.6406,
335,0.6326,
336,0.6247,
337,0.6199,
338,0.6194,
339,0.6189,
340,0.6175,
341,0.609,
342,0.6004,
343,0.5918,
344,0.5892,
345,0.588,
346,0.5868,
347,0.5827,
348,0.5758,
349,0.5688,
350,0.5626,
351,0.5591,
352,0.5557,
353,0.5523,
354,0.5497,
355,0.5471,
356,0.5446,
357,0.5404,
358,0.5348,
359,0.5292,
360,0.5244,
361,0.5218,
362,0.5191,
363,0.5165,
364,0.5155,
365,0.5146,
366,0.5136,
367,0.5083,
368,0.5005,
369,0.4926,
370,0.4859,
371,0.4817,
372,0.4775,
373,0.4733,
374,0.462,
375,0.4508,
376,0.4395,
377,0.4274,
378,0.415,
379,0.4025,
380,0.355,
381,0.2452,
382,0.1354,
383,0.0337,
384,0.1263,
385,0.2189,
386,0.3115,
387,0.3347,
388,0.331,
389,0.3273,
390,0.325,
391,0.3248,
392,0.3245,
393,0.3244,
394,0.326,
395,0.3276,
396,0.3292,
397,0.3321,
398,0.3355,
399,0.3388,
400,0.3425,
401,0.3465,
402,0.3506,
403,0.3547,
404,0.359,
405,0.3633,
406,0.3677,
407,0.3716,
408,0.3755,
409,0.3793,
410,0.383,
411,0.3865,
412,0.3899,
413,0.3933,
414,0.3963,
415,0.3992,
416,0.4021,
417,0.4045,
418,0.4067,
419,0.4089,
420,0.411,
421,0.4129,
422,0.4148,
423,0.4167,
424,0.4184,
425,0.4201,
426,0.4218,
427,0.4233,
428,0.4247,
429,0.4262,
430,0.4275,
431,0.4285,
432,0.4296,
433,0.4306,
434,0.4314,
435,0.4322,
436,0.433,
437,0.4336,
438,0.4341,
439,0.4347,
440,0.4352,
