parameter,value1,value2
[SINGLE REFLECTANCE MEASUREMENT], , 
author,Agnes Brokerhof-Olivia van Rooijen-Gauthier Patin, 
date_time,2023-04-21 13:06:41, 
[PROJECT], , 
project_Id,2021-141, 
PL,Suzan de Groot, 
ML,AB, 
aanvraagdatum,2021-10-15, 
uiterste_datum,, 
comments,patroon4_afgedekt, 
[OBJECT], , 
institution,Museum Boijmans van Beunigen, 
object_Id,BEK1859P, 
object_category,heritage, 
object_type,sculpture, 
object_technique,sewing, 
object_title,‘Infinity Mirror Room - Phalli’s Field, 
object_creator,"Kusuma, Yayoi", 
object_date,1965, 
object_support,textile, 
[DEVICE], , 
device,"KM_Konica Minolta, CM-2600d", 
geometry,di:8.de:8, 
option,none, 
lamp,Xe_3 pulsed xenon lamps, 
filter,400nm cut, 
fiber_ill,none, 
white_ref,"WR3_Konica Minolta, CM-A145", 
specular_component,SCE, 
integration_time_ms,unknown, 
average,3, 
measurement_area,SAV(3mm), 
[ANALYSIS], , 
Id,BEK1859P-r34, 
group,group14, 
color,red, 
colorants,, 
colorant_names,, 
ratio,, 
binding,, 
thickness_microns,, 
background,, 
measurements_N,1, 
[COLORIMETRIC DATA], , 
observer,10deg,2deg
illuminant,D65,D50
x,0.5414,0.581
y,0.3187,0.3265
L*,42.65,45.27
a*,54.25,59.84
b*,26.05,31.67
C*,60.18,67.7
h,25.65,27.89
[MEASUREMENT DATA], , 
wavelength_nm,reflectance,reflectance
360,0.0,
370,0.0,
380,0.0,
390,0.0,
400,0.0483,
410,0.0576,
420,0.0649,
430,0.0689,
440,0.0659,
450,0.056900000000000006,
460,0.0471,
470,0.0394,
480,0.0341,
490,0.031200000000000002,
500,0.029300000000000003,
510,0.0281,
520,0.0292,
530,0.0315,
540,0.0349,
550,0.0394,
560,0.049699999999999994,
570,0.0709,
580,0.11800000000000001,
590,0.20170000000000002,
600,0.3152,
610,0.4422,
620,0.5357,
630,0.5901,
640,0.6214,
650,0.6404000000000001,
660,0.6604000000000001,
670,0.6751999999999999,
680,0.6904,
690,0.7026,
700,0.7101000000000001,
710,0.7151000000000001,
720,0.7172,
730,0.7211,
740,0.7226,
