parameter,value1,value2
[SINGLE REFLECTANCE MEASUREMENT], , 
author,Agnes Brokerhof-Olivia van Rooijen-Gauthier Patin, 
date_time,2023-04-21 12:06:26, 
[PROJECT], , 
project_Id,2021-141, 
PL,Suzan de Groot, 
ML,AB, 
aanvraagdatum,2021-10-15, 
uiterste_datum,, 
comments,patroon2_onderzijde, 
[OBJECT], , 
institution,Museum Boijmans van Beunigen, 
object_Id,BEK1859P, 
object_category,heritage, 
object_type,sculpture, 
object_technique,sewing, 
object_title,‘Infinity Mirror Room - Phalli’s Field, 
object_creator,"Kusuma, Yayoi", 
object_date,1965, 
object_support,textile, 
[DEVICE], , 
device,"KM_Konica Minolta, CM-2600d", 
geometry,di:8.de:8, 
option,none, 
lamp,Xe_3 pulsed xenon lamps, 
filter,400nm cut, 
fiber_ill,none, 
white_ref,"WR3_Konica Minolta, CM-A145", 
specular_component,SCE, 
integration_time_ms,unknown, 
average,3, 
measurement_area,SAV(3mm), 
[ANALYSIS], , 
Id,BEK1859P-w05, 
group,group06, 
color,white, 
colorants,, 
colorant_names,, 
ratio,, 
binding,, 
thickness_microns,, 
background,, 
measurements_N,1, 
[COLORIMETRIC DATA], , 
observer,10deg,2deg
illuminant,D65,D50
x,0.3216,0.3534
y,0.3378,0.3641
L*,87.69,87.85
a*,0.59,0.98
b*,3.67,3.65
C*,3.72,3.78
h,80.87,74.97
[MEASUREMENT DATA], , 
wavelength_nm,reflectance,reflectance
360,0.0,
370,0.0,
380,0.0,
390,0.0,
400,0.5976,
410,0.621,
420,0.6379,
430,0.6539,
440,0.665,
450,0.6733,
460,0.6811,
470,0.687,
480,0.6901999999999999,
490,0.6951999999999999,
500,0.6977,
510,0.6999,
520,0.7021999999999999,
530,0.7045999999999999,
540,0.7099,
550,0.7132,
560,0.7167,
570,0.7216,
580,0.7258,
590,0.7299,
600,0.7315,
610,0.7399,
620,0.7413,
630,0.7419,
640,0.7451000000000001,
650,0.7441,
660,0.7465999999999999,
670,0.7434999999999999,
680,0.7458,
690,0.7472,
700,0.7475,
710,0.7484999999999999,
720,0.7478,
730,0.7493000000000001,
740,0.7487999999999999,
